TAGNAME,TIME,SUNANGLE,VALUE,Latitude,Longitude,Temp 2m,Dewpoint 2m,Pressure,Precipitation,GHI,DHI,BNI,Location,Date,Time,Date.1,Timestamp,Year,hours
Main Optic,27-06-2023 21:54,-0.9725977,1,60.741,-0.795,10.53370967,9.000714511,101677.479,4.35719E-07,0,0,0,Balta_Sound,27-06-2023 00:00,21:54:11,27-06-2023,00:00:00,2023,21.90305556
Optic Main,27-06-2023 21:34,-0.462001146,1,59.854,-1.276,10.59525299,8.418300919,101774.3215,3.6204E-06,0,0,0,Sumburgh_Head,27-06-2023 00:00,21:34:42,27-06-2023,00:00:00,2023,21.57833333
Optic Main,27-06-2023 21:25,0.07094881,1,59.39,-2.382,10.74665262,8.487906235,101880.9939,1.42683E-06,0.3155965,0.3155965,0,North_Ronaldsay,27-06-2023 00:00,21:25:18,27-06-2023,00:00:00,2023,21.42166667
Light,27-06-2023 21:16,0.471063313,1,58.85,-3.014,10.98768659,9.730685574,101750.7723,4.98504E-07,0.189289944,0.189289944,0,Flotta_Grinds_Buoy,27-06-2023 00:00,21:16:46,27-06-2023,00:00:00,2023,21.27944444
ML1 Status,27-06-2023 20:43,-0.715049302,1,49.868,-6.435,15.51849278,14.43157079,101366.956,6.60968E-05,0,0,0,BishopRock,27-06-2023 00:00,20:43:21,27-06-2023,00:00:00,2023,20.7225
ML1 Status,27-06-2023 20:35,-0.18423144,1,49.935,-5.801,15.49407177,14.51198052,101280.6508,3.58418E-05,0,0,0,WolfRock,27-06-2023 00:00,20:35:42,27-06-2023,00:00:00,2023,20.595
ML1 Status,27-06-2023 20:06,3.075529809,1,51.2,-4.202,16.89861931,14.16527068,100976.8626,0.000744129,1.44354875,1.44354875,0,BullPointPost,27-06-2023 00:00,20:06:41,27-06-2023,00:00:00,2023,20.11138889
Main Optic,27-06-2023 19:53,8.244338855,1,58.672,-3.377,11.54321654,10.0574799,101518.97,4.79819E-07,1.797479417,1.797479417,0,Dunnet_Head,27-06-2023 00:00,19:53:37,27-06-2023,00:00:00,2023,19.89361111
Optic Main,27-06-2023 18:39,16.23153646,0,59.854,-1.276,10.93456562,9.121583728,101749.6912,1.0534E-06,22.40065886,22.40065886,0,Sumburgh_Head,27-06-2023 00:00,18:39:47,27-06-2023,00:00:00,2023,18.66305556
Optic Main,27-06-2023 18:11,19.6682964,1,59.854,-1.276,11.00135573,9.128254979,101763.343,2.02423E-06,41.08344375,41.08344375,0,Sumburgh_Head,27-06-2023 00:00,18:11:15,27-06-2023,00:00:00,2023,18.1875
